Text,Output
Succession issues in the case of a Muslim who dies intestate are to be resolved.,indian-succession-act
A couple wants to adopt a child and follows the legal adoption process under the adoption laws.,adoption-law
"A single parent wishes to adopt a child, following the necessary legal procedures.",adoption-law
An Indian citizen or NRI living abroad wants to adopt a child in India.,adoption-law
"A child is abandoned or surrendered for adoption, and the legal adoption process is initiated.",adoption-law
"A child is orphaned, and relatives or non-relatives seek to adopt the child through legal means.",adoption-law
A step-parent wants to adopt their spouse's child from a previous marriage.,adoption-law
A child is adopted by a relative (kinship adoption) due to the biological parents' inability to care for the child.,adoption-law
A foreign national or non-resident Indian (NRI) wishes to adopt an Indian child and follows the inter-country adoption process.,adoption-law
A child in India is placed for adoption by foreign adoptive parents through a recognized agency.,adoption-law
An Indian child adopted by foreign parents returns to India to seek information about their birthplace or biological family.,adoption-law
"An abandoned child with special needs is placed for adoption, and adoptive parents follow the relevant adoption laws.",adoption-law
"A child born through surrogacy is to be adopted by the intended parents, and adoption laws are applied to complete the process.",adoption-law
"A transgender individual wishes to adopt a child, and adoption laws are followed.",adoption-law
"A minor, aged 16 or 17, wants to adopt a child under the Juvenile Justice (Care and Protection of Children) Act.",adoption-law
"A child in conflict with the law is to be adopted after completing their sentence or rehabilitation, and legal adoption procedures are followed.",adoption-law
"A family seeks to adopt a child from a different religion or caste, and the adoption laws ensure the child's right to retain their religious and cultural identity.",adoption-law
A concerned citizen reports the imminent marriage of a minor to authorities for intervention.,prohibition-child-marriage-act
"Parents or guardians plan a child marriage, but local authorities stop the ceremony from taking place.",prohibition-child-marriage-act
A young girl or boy about to be married informs the authorities of the impending child marriage and seeks protection.,prohibition-child-marriage-act
Local authorities and community leaders work together to raise awareness and prevent child marriages.,prohibition-child-marriage-act
"The police take action to prevent a child marriage, based on a tip-off or their own investigation.",prohibition-child-marriage-act
"A case is filed against parents, guardians, or those responsible for arranging a child marriage.",prohibition-child-marriage-act
"The individuals who officiate at a child marriage ceremony, such as priests or religious leaders, face legal action.",prohibition-child-marriage-act
Authorities intervene and stop a child marriage ceremony that is in progress.,prohibition-child-marriage-act
The legal system is used to penalize those who perform or participate in child marriage ceremonies.,prohibition-child-marriage-act
A child bride seeks annulment of her marriage under the Act.,prohibition-child-marriage-act
Legal measures are taken to protect and support a child bride trying to escape her marriage.,prohibition-child-marriage-act
A child bride seeks her right to maintenance and support as per the Child Marriage Act.,prohibition-child-marriage-act
Legal authorities ensure that medical facilities and professionals follow the proper procedures for age verification to prevent child marriages.,prohibition-child-marriage-act
The issuance of false medical certificates to facilitate child marriages is subject to legal action.,prohibition-child-marriage-act
Legal authorities ensure that individuals are of the legal age when entering into marriage as per the Act.,prohibition-child-marriage-act
Government and NGOs work to strengthen the mechanisms for enforcing the legal age for marriage.,prohibition-child-marriage-act
"A party to a civil lawsuit presents documentary evidence to support their claims, and the admissibility of the documents is determined under the Act.",indian-evidence-act
"In a breach of contract case, oral testimony is offered to prove the existence of a contract, and the court evaluates the admissibility of this evidence.",indian-evidence-act
"In a property dispute, the Act is applied to assess the admissibility of oral and documentary evidence related to property ownership.",indian-evidence-act
"A will is contested in a civil case, and the Act is used to determine the validity and authenticity of the will.",indian-evidence-act
"In a personal injury case, medical records and expert testimony are submitted as evidence, and their admissibility is governed by the Act.",indian-evidence-act
"In a criminal trial, witnesses are examined and cross-examined according to the rules of evidence outlined in the Act.",indian-evidence-act
"The prosecution presents physical evidence, such as DNA or forensic reports, and the Act governs the admissibility of this evidence.",indian-evidence-act
"Hearsay evidence is presented during a criminal trial, and the Act is applied to assess its admissibility.",indian-evidence-act
"In a case involving electronic evidence, such as text messages or emails, the Act is used to determine their admissibility.",indian-evidence-act
"In divorce proceedings, the Act governs the admissibility of evidence related to cruelty, desertion, or other grounds for divorce.",indian-evidence-act
"In child custody disputes, evidence is presented to determine the child's best interests, and the Act is used to assess the admissibility of such evidence.",indian-evidence-act
"In cases related to domestic violence, the Act is applied to evaluate the admissibility of evidence, including medical records and witness statements.",indian-evidence-act
"In cases involving maintenance or alimony, evidence of the financial status of the parties is presented and assessed under the Act.",indian-evidence-act
"The authenticity of a will is questioned, and the Act is used to determine the admissibility of evidence related to the execution of the will.",indian-evidence-act
"In a dispute over inheritance, the Act governs the admissibility of evidence regarding the deceased's assets and intentions.",indian-evidence-act
"In cases related to property disputes, the Act is applied to assess the admissibility of documents, deeds, and other evidence of property ownership.",indian-evidence-act
"In disputes involving sale or lease agreements, the Act is used to determine the admissibility of the agreements and related evidence.",indian-evidence-act
"In cases related to the breach of contract, the Act is used to evaluate the admissibility of written and oral evidence of the contract.",indian-evidence-act
"In cases of fraud or misrepresentation, evidence is presented to establish the wrongdoing, and the Act is applied to determine admissibility.",indian-evidence-act
A Christian couple wishes to marry according to Christian customs and have their marriage solemnized under the Act.,indian-christian-marriage-act
"A Christian couple, both of whom are Indian citizens, seeks to have their Christian marriage registered under the Act.",indian-christian-marriage-act
A Christian couple residing in India wants to solemnize their Christian marriage with all the legal formalities under the Act.,indian-christian-marriage-act
"A Christian individual intends to marry a non-Christian partner, and they opt for a Christian marriage under the Act.",indian-christian-marriage-act
"A Christian individual marries a non-Christian, and the Act is applied to govern the registration of their marriage under Christian law.",indian-christian-marriage-act
A Christian couple marries in a church ceremony and wishes to have their church marriage registered under the Act.,indian-christian-marriage-act
"A Christian couple marries in a church, and their church marriage certificate is submitted for registration under the Act.",indian-christian-marriage-act
A Christian couple relocates to India after having their church marriage abroad and wishes to have it registered under the Act.,indian-christian-marriage-act
A Christian couple married under the Act seeks annulment or divorce and approaches the appropriate legal authority.,indian-christian-marriage-act
"A Christian marriage is annulled under the Act, and the legal process is followed.",indian-christian-marriage-act
"A Christian couple seeks a divorce under the Act, and the legal proceedings are conducted accordingly.",indian-christian-marriage-act
"A Christian individual, previously divorced under the Act, intends to remarry and follows the legal procedures outlined in the Act.",indian-christian-marriage-act
"A Christian couple belonging to different Christian denominations wishes to marry under the Act, and the legal process is followed.",indian-christian-marriage-act
"A Christian individual intends to marry someone from a different Christian denomination, and the Act is used to govern the registration of their marriage.",indian-christian-marriage-act
"A Christian spouse seeks legal recognition and rights under the Act, including property and inheritance rights.",indian-christian-marriage-act
"In the case of a foreign spouse, the Act is used to govern the legal recognition and rights in India.",indian-christian-marriage-act
A Parsi couple wishes to marry according to Parsi customs and have their marriage registered under the Act.,parsi-marriage-divorce-act
"A Parsi couple, both of whom are Indian citizens, seeks to have their Parsi marriage registered under the Act.",parsi-marriage-divorce-act
A Parsi couple residing in India wants to solemnize their Parsi marriage with all the legal formalities under the Act.,parsi-marriage-divorce-act
"A Parsi individual intends to marry a non-Parsi partner, and they opt for a Parsi marriage under the Act.",parsi-marriage-divorce-act
"A Parsi individual marries a non-Parsi, and the Act is applied to govern the registration of their Parsi marriage.",parsi-marriage-divorce-act
A Parsi couple marries in an Agyari or Atash Behram ceremony and wishes to have their religious marriage registered under the Act.,parsi-marriage-divorce-act
"A Parsi couple marries in an Agyari or Atash Behram, and their religious marriage certificate is submitted for registration under the Act.",parsi-marriage-divorce-act
A Parsi couple married under the Act seeks annulment or divorce and approaches the appropriate legal authority.,parsi-marriage-divorce-act
"A Parsi marriage is annulled under the Act, and the legal process is followed.",parsi-marriage-divorce-act
"A Parsi couple seeks a divorce under the Act, and the legal proceedings are conducted accordingly.",parsi-marriage-divorce-act
"A Parsi couple belonging to different customs within the Parsi community wishes to marry under the Act, and the legal process is followed.",parsi-marriage-divorce-act
"A Parsi individual intends to marry someone from a different Parsi custom, and the Act is used to govern the registration of their marriage.",parsi-marriage-divorce-act
"A couple seeks a divorce due to irreconcilable differences or cruelty, and the Family Courts Act governs the divorce proceedings.",family-courts-act
"Disputes regarding alimony, maintenance, or division of marital property arise during divorce proceedings.",family-courts-act
"A spouse alleges adultery, desertion, or conversion to another religion as grounds for divorce, and the Family Courts Act addresses the matter.",family-courts-act
A couple seeks a judicial separation under the Act to live apart without formally divorcing.,family-courts-act
"Parents contest child custody and visitation rights, and the Family Courts Act determines custody arrangements.",family-courts-act
"Disputes arise over child support, education, and other expenses for the children, and the Act governs these matters.",family-courts-act
"A spouse claims financial support or maintenance from the other, and the Family Courts Act addresses the issue.",family-courts-act
"Parents dispute the amount and terms of child maintenance, and the Act is applied to resolve the dispute.",family-courts-act
"Grandparents or relatives seek guardianship of a minor child, and the Family Courts Act is used to determine guardianship rights.",family-courts-act
A dispute arises between parents and grandparents regarding the guardianship and custody of a child.,family-courts-act
An Indian citizen residing abroad wishes to get married to another Indian citizen abroad and seeks to register their marriage under the Foreign Marriage Act.,foreign-marriage-act
An Indian citizen residing abroad wishes to marry a foreign national while abroad and have the marriage registered under the act.,foreign-marriage-act
Indian expatriates living outside India plan to have their children married abroad and registered under the Foreign Marriage Act.,foreign-marriage-act
An Indian couple residing abroad wishes to solemnize and register their marriage in a foreign country under the act.,foreign-marriage-act
"Indian citizens residing in different foreign countries wish to marry, and they opt to have their marriage registered under the act.",foreign-marriage-act
"An Indian citizen gets married abroad and returns to India, wanting to have their foreign marriage registered under the act.",foreign-marriage-act
Indian citizens marry abroad but want to register their marriage with Indian authorities to establish their marital status in India.,foreign-marriage-act
"An Indian citizen, married abroad, seeks to bring their spouse to India and requires the marriage to be recognized under Indian law.",foreign-marriage-act
"An Indian citizen marries abroad but wants to change their marital status in official Indian documents, such as the passport.",foreign-marriage-act
"Indian citizens residing abroad wish to register the birth of their child born abroad, whose parents' marriage was registered under the act.",foreign-marriage-act
"Indian citizens want to have the birth of their child abroad recognized in India, following the registration of their marriage under the act.",foreign-marriage-act
Indian citizens married abroad wish to have their foreign marriage recognized in India for property and inheritance issues.,foreign-marriage-act
Foreign nationals married to Indian citizens abroad need their marriage recognized in India for property and inheritance proceedings.,foreign-marriage-act
